classification,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,experimentalTechnique,macromoleculeType,pdbxDetails,phValue,publicationYear,residueCount,resolution,structureId,structureMolecularWeight
DNA,"VAPOR DIFFUSION, HANGING DROP",,1.61,23.71,X-RAY DIFFRACTION,DNA,"pH 6.80, VAPOR DIFFUSION, HANGING DROP",6.8,1995,12,2.5,180D,3619.42
COMPLEX (HYDROLASE/CELL WALL),,,2.26,45.47,X-RAY DIFFRACTION,Protein,,,1995,328,1.75,180L,37312.75
DNA,"VAPOR DIFFUSION, HANGING DROP",,1.7,27.63,X-RAY DIFFRACTION,DNA,"pH 6.90, VAPOR DIFFUSION, HANGING DROP",6.9,1995,12,1.6,181D,3619.42
HYDROLASE (O-GLYCOSYL),,,2.79,55.97,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,181L,18889.55
DNA,"VAPOR DIFFUSION, SITTING DROP",277,3.24,48,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",6.5,1995,12,1.8,182D,5192.06
HYDROLASE (O-GLYCOSYL),,,2.8,56.15,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,182L,18929.57
DNA,"VAPOR DIFFUSION, SITTING DROP",277,2.11,41.57,X-RAY DIFFRACTION,DNA,"pH 7.60, VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",7.6,1995,10,1.6,183D,3061.99
HYDROLASE (O-GLYCOSYL),,,2.78,55.77,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,183L,18927.6
DNA,"VAPOR DIFFUSION, SITTING DROP",,1.93,36.12,X-RAY DIFFRACTION,DNA,"pH 6.80, VAPOR DIFFUSION, SITTING DROP",6.8,1995,7,1.8,184D,2162.02
HYDROLASE (O-GLYCOSYL),,,2.8,56.1,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,184L,18945.66
DNA/ANTIBIOTIC,,,,,SOLUTION NMR,Protein#DNA,,,1994,20,,185D,4761.73
HYDROLASE (O-GLYCOSYL),,,2.79,55.95,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,185L,18928.59
DNA,,,,,SOLUTION NMR,DNA,,,1994,24,,186D,7655.88
HYDROLASE (O-GLYCOSYL),,,2.79,55.97,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,186L,18945.66
DNA,VAPOR DIFFUSION,,2.4,48.81,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION",7,1995,8,2.25,187D,2428.59
HYDROLASE (O-GLYCOSYL),,,2.78,55.72,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,187L,18917.61
DNA,VAPOR DIFFUSION,292,2.31,46.76,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, temperature 292.00K",7,1995,8,2.2,188D,2428.59
HYDROLASE (O-GLYCOSYL),,,2.78,55.68,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,188L,18917.61
DNA,VAPOR DIFFUSION,,2.28,46.11,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION",7,1995,8,2.1,189D,2428.59
HYDROLASE (O-GLYCOSYL),,,2.48,50.35,X-RAY DIFFRACTION,Protein,,,1995,164,2.5,189L,18718.49
TRANSFERASE,,,2.57,52.12,X-RAY DIFFRACTION,Protein,pH 5.4,5.4,1999,420,1.9,18GS,48092.84
DNA,"VAPOR DIFFUSION, HANGING DROP",,2.61,52.9,X-RAY DIFFRACTION,DNA,"pH 5.50, VAPOR DIFFUSION, HANGING DROP",5.5,1994,32,1.8,190D,8894.16
HYDROLASE (0-GLYCOSYL),,,2.74,55.06,X-RAY DIFFRACTION,Protein,,,2002,164,2,190L,18775.53
ALU DOMAIN,hanging drop,277,3,34,X-RAY DIFFRACTION,Protein,"THE SRPPHI14-9 PROTEIN WAS CRYSTALLIZED (BIRSE ET AL., FEBS LETTERS, 1996) BY THE HANGING DROP METHOD IN 2.0 M NAH2/K2H PO4, PH 7.7, 2% MPD, 1.0 MM NAN3 AT 4 DEGREES C WITH A FINAL PROTEIN CONCENTRATION OF 5-8 MG ML-1. CRYSTALS FORMED OVER 2-3 WEEKS AND WERE TYPICALLY 150 X 150 X 300 MM3 IN SPACE, hanging drop, temperature 277K",7.7,1997,232,2.53,1914,26562.73
DNA,"VAPOR DIFFUSION, HANGING DROP",,1.76,29.93,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, HANGING DROP",6.5,1994,16,1.4,191D,4576.09
HYDROLASE (O-GLYCOSYL),,,2.83,56.59,X-RAY DIFFRACTION,Protein,,,2002,164,1.95,191L,18679.86
DNA,"VAPOR DIFFUSION, SITTING DROP",,2,38.43,X-RAY DIFFRACTION,DNA,"pH 6.00, VAPOR DIFFUSION, SITTING DROP",6,1994,12,1.92,192D,3643.4
HYDROLASE (O-GLYCOSYL),,,2.81,56.22,X-RAY DIFFRACTION,Protein,,,2002,164,1.9,192L,18461.22
DNA/ANTIBIOTIC,,,,,SOLUTION NMR,Protein#DNA,,,1995,24,,193D,6078.62
HYDROLASE (O-GLYCOSYL),,,2.03,39.46,X-RAY DIFFRACTION,Protein,pH 4.3,4.3,1996,129,1.33,193L,14389.6
DNA,VAPOR DIFFUSION,282,2.38,48.31,X-RAY DIFFRACTION,DNA,"pH 7.50, VAPOR DIFFUSION, temperature 282.00K",7.5,1995,24,2.3,194D,7326.78
HYDROLASE (O-GLYCOSYL),,,2.04,39.62,X-RAY DIFFRACTION,Protein,pH 4.3,4.3,1996,129,1.4,194L,14389.6
DNA,VAPOR DIFFUSION,282,2.38,48.37,X-RAY DIFFRACTION,DNA,"pH 7.50, VAPOR DIFFUSION, temperature 282.00K",7.5,1995,24,2.3,195D,7757.25
HYDROLASE (O-GLYCOSYL),,,2.78,55.77,X-RAY DIFFRACTION,Protein,pH 6.7,6.7,1996,164,1.9,195L,18897.62
DNA,"VAPOR DIFFUSION, SITTING DROP",278,2.03,39.46,X-RAY DIFFRACTION,DNA,"VAPOR DIFFUSION, SITTING DROP, temperature 278.00K",,1995,20,1.7,196D,6330.48
HYDROLASE (O-GLYCOSYL),,,2.78,55.7,X-RAY DIFFRACTION,Protein,pH 6.7,6.7,1996,164,2.3,196L,18915.65
DNA,"VAPOR DIFFUSION, SITTING DROP",,2.2,44.02,X-RAY DIFFRACTION,DNA,"pH 6.00, VAPOR DIFFUSION, SITTING DROP",6,1993,16,2.19,197D,4853.23
HYDROLASE (O-GLYCOSYL),,,2.76,55.42,X-RAY DIFFRACTION,Protein,pH 6.7,6.7,1996,164,2.1,197L,18839.56
DNA,"VAPOR DIFFUSION, SITTING DROP",277,3.7,66.8,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",6.5,1995,24,1.97,198D,9429.18
HYDROLASE (O-GLYCOSYL),,,2.78,55.74,X-RAY DIFFRACTION,Protein,pH 6.7,6.7,1996,164,2,198L,18855.54
DNA,,,,,SOLUTION NMR,DNA,,,1995,18,,199D,5746.88
HYDROLASE (O-GLYCOSYL),,,2.78,55.69,X-RAY DIFFRACTION,Protein,pH 6.7,6.7,1996,164,1.85,199L,18873.57
TRANSFERASE,hanging drop,,2.57,52.06,X-RAY DIFFRACTION,Protein,"CRYSTALLISATION PERFORMED USING THE HANGING DROP TECHNIQUE. 2 MICROL OF PROTEIN SOLUTION (8MG/ML) IN 10MM PHOSPHATE BUFFER PH7.0, 1MM EDTA AND 2MM BETA-MERCAPTOETHANOL WAS ADDED TO 2 MICROL OF RESERVOIR SOLUTION. THE RESERVOIR CONTAINED 20-25% AMMONIUM SULFATE, 30-60 MM DITHIOTHREITOL AND 100MM MORPHOLINOETHANESULFONIC ACID BUFFER PH5.4. DROPS WERE STREAK SEEDED AFTER 1 DAY USING A CAT'S WHISKER FROM CRYSTALS GROWN UNDER SIMILAR CONDITIONS. AFTER X DAYS, THE CRYSTAL WAS TRANSFERED TO ARTIFICIAL MOTHER LIQUOR WHICH LACKED DITHIOTHREITOL. SOLID BROMOSULFALEIN WAS SEEDED INTO THE DROP. SEVEN WEEKS LATER THE CRYSTALS WERE SUBJECTED TO X-RAY ANALYSIS., pH 6.0, hanging drop",6,1999,418,1.9,19GS,49082.3
ELECTRON TRANSPORT,,,3.42,64,X-RAY DIFFRACTION,Protein,PEG 6000 2-10% (W/V) SODIUM ACETATE BUFFER PH 5.5 0.25-0.75M,5.5,1999,584,1.8,19HC,73973.32
OXYGEN TRANSPORT,,,2.32,47,X-RAY DIFFRACTION,Protein,10.5% PEG 6000 10 MM POTASSIUM PHOSPHATE PH 7.0 100 MM POTASSIUM CHLORIDE 3 MM SODIUM DITHIONITE,7,1998,574,2,1A00,64565.11
OXYGEN TRANSPORT,,,2.19,44,X-RAY DIFFRACTION,Protein,2.3 M AMMONIUM SULFATE 0.3 M AMMONIUM PHOSPHATE PH 6.5 10 MM FERROUS CITRATE,6.5,1998,574,1.8,1A01,64380.92
TRANSCRIPTION/DNA,"VAPOR DIFFUSION, HANGING DROP",,3.54,68,X-RAY DIFFRACTION,Protein#DNA,"THE COMPLEX WAS CRYSTALLIZED IN 300-400 MM AMMONIUM ACETATE SALT, PH 7.5 (10 MM)., VAPOR DIFFUSION, HANGING DROP",7.5,1998,453,2.7,1A02,59845.47
CALCIUM-BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1998,180,,1A03,20335.46
SIGNAL TRANSDUCTION PROTEIN,"VAPOR DIFFUSION, SITTING DROP",277,2.49,51.03,X-RAY DIFFRACTION,Protein,"THE PROTEIN SOLUTION CONTAINING 23.3 MG/ML OF PURIFIED NARL, 20 MM TRIS.HCL (PH=7.6), 0.5 MM MGCL2, AND 10% GLYCEROL WAS MIXED WITH AN EQUAL VOLUME OF THE RESERVOIR SOLUTION CONTAINING 0.1 M TRIS.HCL (PH=8.5), 0.2 M SODIUM ACETATE, AND 30% POLYETHYLENE GLYCOL (PEG) 4000. SITTING DROPS CONTAINING 20 ML OF MIXTURE WERE EQUILIBRATED BY VAPOR DIFFUSION AT 4 DEGREES AGAINST 20 ML OF THE RESERVOIR SOLUTION. CRYSTALS BEGAN TO APPEAR AS CLUSTERS OF PLATES AFTER 11-15 DAYS., vapor diffusion - sitting drop, temperature 277K",7.6,1998,430,2.2,1A04,47657.25
OXIDOREDUCTASE,,,2.83,57,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1998,716,2,1A05,77411.23
KINASE,,,2.45,50,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1996,332,2.5,1A06,37517.7
COMPLEX (TRANSFERASE/PEPTIDE),,277,2.1,43,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 0.1 M MES, PH 6.5, 0.05 M CSCL, 30% JEFFAMINE M-600 AT 4 DEGREES C., pH 8.0, temperature 277K",8,1997,222,2.2,1A07,25718.97
COMPLEX (TRANSFERASE/PEPTIDE),,277,2.7,54,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 0.1 M ACETATE, PH 4.6, 2.1 M AMMONIUM SULFATE AT 4 C., temperature 277K",4.6,1997,222,2.2,1A08,25786.99
COMPLEX (TRANSFERASE/PEPTIDE),,277,2.7,54,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 0.1 M ACETATE, PH 4.6, 2 M NAFORMATE AT 4 C. THE CRYSTAL WAS SOAKED IN 10% PEG400, 10% GLYCEROL PRIOR TO DATA COLLECTION, temperature 277K",4.6,1997,222,2,1A09,25779.02
TRANSCRIPTION/DNA,VAPOR DIFFUSION,,4.2,71,X-RAY DIFFRACTION,Protein#DNA,"VAPOR DIFFUSION METHOD: DROP-0.4MM PROTEIN, 0.2MM DNA, 1% PEG6K, 20MM NACITRATE (PH3.6), RESERVOIR-1% PEG6K, 20MM NACITRATE(PH3.6), vapor diffusion",3.6,1997,160,2.8,1A0A,24623.88
HISTIDINE KINASE,,,2.1,41,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 12.5% PEGMME 550, 5 MM ZNSO4, 50 MM ACETIC ACID/SODIUM ACETATE BUFFER, PH 4.1",4.1,1997,125,2.06,1A0B,14079.35
KETOLISOMERASE,,,2.6,48,X-RAY DIFFRACTION,Protein,"PROTEIN IN 50 MM MOPS, 10 MM MGSO4, 1 MM COCL2, PH 7.0, WAS CRYSTALLIZED FROM 12% JEFFAMINE ED 4000, 50 MM MES, PH 6.0 (FOR DETAILS SEE REFERENCE 1).",6,,1752,2.5,1A0C,202110.23
KETOLISOMERASE,"VAPOR DIFFUSION, HANGING DROP",,2.7,45,X-RAY DIFFRACTION,Protein,"VAPOR DIFFUSION FROM HANGING DROPS (18 DEG C): PROTEIN (A280 22) WAS IN 50 MM TRIS, 10 MM MNCL2, PH 7.5; RESERVOIR SOLUTION WAS 10% PEG, 100 MM LICL, 100 MM MES, PH 6.3; DROPS WERE FORMED FROM EQUAL PARTS OF PROTEIN AND RESERVOIR SOLUTIONS., pH 6.5, vapor diffusion - hanging drop",6.5,,1760,3,1A0D,200733.08
KETOLISOMERASE,,,2.4,50,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 14% JEFFAMINE ED 4000, 5 MM MGSO4, 0.5 MM COCL2, 50 MM MOPS, PH 7.0 (FOR DETAILS SEE REFERENCE 1).",7,,886,2.7,1A0E,102016.8
TRANSFERASE,,,2.4,49,X-RAY DIFFRACTION,Protein,pH 4.6,4.6,1998,402,2.1,1A0F,46503.33
TRANSFERASE,,,2.42,49.4,X-RAY DIFFRACTION,Protein,"THE PROTEIN WAS PRE-INCUBATED WITH 50MM D-ALANINE AND 50MM ALPHA-KETOGLUTARATE TO CONVERT PLP INTO PMP. THE PROTEIN WAS CRYSTALLIZED FROM 30% PEG3350, 500MM SODIUM ACETATE, 100MM TRIS/HCL, 5MM SODIUM AZIDE, PH9.0",9,1998,564,2,1A0G,65036
HYDROLASE/HYDROLASE INHIBITOR,,,5.4,76,X-RAY DIFFRACTION,Protein,"17 MG/ML PROTEIN, 2% PEG4000, .25 M AMMONIUM PHOSPHATE, PH 8.0, 33% SATURATED AMMONIUM SULFATE",8,1997,836,3.2,1A0H,97074.32
LIGASE,,,2.73,54.98,X-RAY DIFFRACTION,Protein,,,1996,348,2.6,1A0I,40395.68
SERINE PROTEASE,,,2.2,44,X-RAY DIFFRACTION,Protein,pH 4.6,4.6,1998,892,1.7,1A0J,96695.96
CYTOSKELETON,,,1.9,22,X-RAY DIFFRACTION,Protein,"2.0 M AMMONIUM SULFATE, 0.1 M CITRATE PH 5.0, 10 MM DTT, 0.2 MM EDTA",5,1997,131,2.2,1A0K,14279.18
HYDROLASE/HYDROLASE INHIBITOR,,,2.48,50,X-RAY DIFFRACTION,Protein,pH 5.0,5,1998,976,3,1A0L,110410.1
ACETYLCHOLINE RECEPTOR ANTAGONIST,,,1.6,24,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1998,34,1.1,1A0M,3582
COMPLEX (PHOSPHOTRANSFERASE/PEPTIDE),,,,,SOLUTION NMR,Protein,,,1996,83,,1A0N,9103.88
CHEMOTAXIS,,,2.28,44,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 20% PEG MME 5K, 0.1 M MALONIC ACID, 0.1 M MES BUFFER PH 5.5, 0.02 M DTT, 0.01 M MANGANESE CHLORIDE",5.5,1998,1048,2.95,1A0O,114165.8
DNA RECOMBINATION,,,2.57,52.08,X-RAY DIFFRACTION,Protein,,,1997,290,2.5,1A0P,33308.19
CATALYTIC ANTIBODY,,,2.3,42.48,X-RAY DIFFRACTION,Protein,pH 6.0,6,1998,429,2.3,1A0Q,47523.88
COMPLEX (TRANSDUCER/TRANSDUCTION),MICROBATCH,277,2.25,45,X-RAY DIFFRACTION,Protein,"THE PROTEIN COMPLEX (10 MG/ML SOLUTION) WAS CRYSTALLIZED FROM 400 MM SODIUM CACODYLATE (PH 6.8), 1 MM ZINC CHLORIDE, 25 % ETHYLENE GLYCOL, 12 % PEG 8000, BY MICROBATCH CRYSTALLIZATION AT 4 DEGREES C., microbatch, temperature 277K",6.8,1998,650,2.8,1A0R,73467.7
OUTER MEMBRANE PROTEIN,"VAPOR DIFFUSION, SITTING DROP",,3.8,68,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED BY VAPOR DIFFUSION USING THE SITTING-DROP METHOD. THE DROP CONTAINED 5-7 MG/ML PROTEIN, 20 MM TRIS/CL AT PH 7.7, 100MM LICL, 20MM MGSO4, 1.2% BETA-D-OCTYLGLUCOPYRANOSIDE AND 6-9% PEG-2000. THE CONCENTRATION OF PEG IN THE RESERVOIR WAS 12-15%., vapor diffusion - sitting drop",7.7,1998,1239,2.4,1A0S,136121.23
OUTER MEMBRANE PROTEIN,"VAPOR DIFFUSION, SITTING DROP",,3.8,68,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED BY VAPOR DIFFUSION USING THE SITTING-DROP METHOD. THE DROP CONTAINED 5-7 MG/ML PROTEIN, 20 MM TRIS/CL AT PH 7.7, 100MM LICL, 20MM MGSO4, 1.2% BETA-D-OCTYLGLUCOPYRANOSIDE AND 6-9% PEG-2000. THE CONCENTRATION OF PEG IN THE RESERVOIR WAS 12-15%. 2M SUCROSE WAS ADDED TO THE DROP FOR COCRYSTALLIZATION., vapor diffusion - sitting drop",7.7,1998,1239,2.4,1A0T,138175.02
OXYGEN TRANSPORT,,,2.46,50,X-RAY DIFFRACTION,Protein,10.5% PEG 6000 10 MM POTASSIUM PHOSPHATE PH 7.0 100 MM POTASSIUM CHLORIDE 3 MM SODIUM DITHIONITE,7,1998,574,2.14,1A0U,64611.18
OXYGEN TRANSPORT,,,2.46,50,X-RAY DIFFRACTION,,pH 7.0,7,1998,0,2.2,1A0V,64565.11
OXYGEN TRANSPORT,,,2.46,50,X-RAY DIFFRACTION,,pH 7.0,7,1998,0,2,1A0W,64380.92
OXYGEN TRANSPORT,,,2.46,50,X-RAY DIFFRACTION,,pH 7.0,7,1998,0,1.93,1A0X,64352.86
OXYGEN TRANSPORT,,,2.46,50,X-RAY DIFFRACTION,,pH 7.0,7,1998,0,1.98,1A0Y,64496.99
OXYGEN TRANSPORT,,,2.32,47,X-RAY DIFFRACTION,Protein,10.5% PEG 6000 10 MM POTASSIUM PHOSPHATE PH 7.0 100 MM POTASSIUM CHLORIDE 3 MM SODIUM DITHIONITE,7,1998,574,2,1A0Z,64611.18
COMPLEX (SERINE PROTEASE/INHIBITOR),,,2.2,46,X-RAY DIFFRACTION,,pH 6,6,,337,1.8,1A10,34558.68
ACETYLCHOLINE RECEPTOR,,,,,SOLUTION NMR,Protein,,,1999,25,,1A11,2666.14
GUANINE NUCLEOTIDE EXCHANGE FACTOR,,,2.19,41,X-RAY DIFFRACTION,Protein,pH 6.9,6.9,1998,1239,1.7,1A12,132329.33
MAST CELL DEGRANULATION,,,,,SOLUTION NMR,Protein,,,1998,15,,1A13,1557.99
COMPLEX (ANTIBODY/ANTIGEN),VAPOR DIFFUSION,,4,70,X-RAY DIFFRACTION,Protein,"NC10 SCFV(5) AND N9 NA WERE MIXED TOGETHER (SCFV(5) IN FOUR-FOLD MOLAR EXCESS) WITH AND EQUAL VOLUME OF POTASSIUM PHOSPHATE BUFFER 1.7M PH6.6. THE DROP WAS EQUILIBRATED BY VAPOR DIFFUSION AGAINST PHOSPHATE BUFFER 1.3M PH6.8., vapor diffusion",6.6,1998,612,2.5,1A14,70159.26
CHEMOKINE,VAPOR DIFFUSION,,2.22,35,X-RAY DIFFRACTION,Protein,"PROTEIN CONCENTRATION 10MG/ML. WELL SOLUTION 1.9M AMMONIUM SULFATE 0.1M TRIS-HCL PH 8.5. CRYSTALLIZED USING VAPOR DIFFUSION., vapor diffusion",8.5,1998,134,2.2,1A15,15708.57
HYDROLASE/HYDROLASE INHIBITOR,,,4.5,72,X-RAY DIFFRACTION,Protein,"pH 8.3  THE CRYSTALS WERE SOAKED IN A SOLUTION CONTAINING PRO-LEU, AN INHIBITOR.",8.3,1998,440,2.3,1A16,50100.24
HYDROLASE,,,2.94,58,X-RAY DIFFRACTION,Protein,"1.8 M AMMONIUM SULFATE, 4% MPD, 100 MM HEPES PH 7.5, 2 MM DTT",7.5,1998,166,2.45,1A17,19252.68
FATTY ACID BINDING PROTEIN,,,2.2,45.6,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1998,131,2.4,1A18,14774.93
RIBONUCLEASE INHIBITOR,,,2.4,49,X-RAY DIFFRACTION,Protein,"C82A MUTANT WAS CRYSTALLIZED FROM 40-60% AMMONIUM SULFATE, 50MM PHOSPHATE, PH=6.5. PROTEIN CONC=45 MG/ML. C40A AND DTNB LABELLED CRYSTALS ALSO CRYSTALLIZED BUT DID NOT DIFFRACT TO HIGH RESOLUTION.",6.5,1998,180,2.76,1A19,20641.35
COMPLEX (TRANSFERASE/PEPTIDE),,277,2.5,52,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 1.0 M LI2SO4, 2% PEG8000 AT 4C. THE CRYSTAL WAS SOAKED IN 25% GLYCEROL PRIOR TO DATA COLLECTION., pH 8.0, temperature 277K",8,1997,222,2,1A1A,25746.89
COMPLEX (TRANSFERASE/PEPTIDE),,277,2.6,54,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 2M AMMONIUM SULFATE AT 4 DEGREES C., pH 8.0, temperature 277K",8,1997,222,2.2,1A1B,25718.97
COMPLEX (TRANSFERASE/PEPTIDE),,295,2.6,54,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 0.1 M ACETATE, PH 4.6,2M AMMONIUM SULFATE AT 22 C., temperature 295K",4.6,1997,222,2.4,1A1C,25686.89
NUCLEOTIDYLTRANSFERASE,,,,,SOLUTION NMR,Protein,,,1998,146,,1A1D,16525.36
COMPLEX (TRANSFERASE/PEPTIDE),,295,2.6,54,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 2M AMMONIUM SULFATE AT 22 DEGREES C., pH 8.0, temperature 295K",8,1997,222,2.2,1A1E,25686.89
TRANSCRIPTION/DNA,"VAPOR DIFFUSION, HANGING DROP",,2.17,43.29,X-RAY DIFFRACTION,Protein#DNA,"20% PEG 400, 200MM MGCL2, 100 MM HEPES PH 7.5, VAPOR DIFFUSION, HANGING DROP",7.5,1998,112,2.1,1A1F,17673.98
TRANSCRIPTION/DNA,"VAPOR DIFFUSION, HANGING DROP",,2.24,45.2,X-RAY DIFFRACTION,Protein#DNA,"25% PEG 1450, 200 MM NACL, 25 MM BIS-TRIS PROPANE PH 8.0, VAPOR DIFFUSION, HANGING DROP",8,1998,112,1.9,1A1G,17673.98
TRANSCRIPTION/DNA,VAPOR DIFFUSION,,2.31,46.68,X-RAY DIFFRACTION,Protein#DNA,"27.5-35% PEG 3350, 0-200 MM NACL, 100 MM TRIS PH 8.5, VAPOR DIFFUSION",8.5,1998,112,1.6,1A1H,17629.97
TRANSCRIPTION/DNA,"VAPOR DIFFUSION, HANGING DROP",,2.32,47.07,X-RAY DIFFRACTION,Protein#DNA,"22.5% PEG 3350, 500MM NACL, 25 MM MES PH 6.2, VAPOR DIFFUSION, HANGING DROP",6.2,1998,112,1.6,1A1I,17701.07
TRANSCRIPTION/DNA,"VAPOR DIFFUSION, HANGING DROP",,2.26,45.48,X-RAY DIFFRACTION,Protein#DNA,"35% PEG 3350, 200MM NACL, 25 MM MES PH 6.2, VAPOR DIFFUSION, HANGING DROP",6.2,1998,112,2,1A1J,17701.07
TRANSCRIPTION/DNA,,,2.21,44.26,X-RAY DIFFRACTION,Protein#DNA,"25% PEG 1450, 25 MM MES PH 6.2",6.2,1998,112,1.9,1A1K,17701.07
TRANSCRIPTION/DNA,"VAPOR DIFFUSION, HANGING DROP",,2.28,46.11,X-RAY DIFFRACTION,Protein#DNA,"35% PEG 1450, 300MM NACL, 25 MM BIS TRIS PROPANE PH 8.0, VAPOR DIFFUSION, HANGING DROP",8,1998,112,2.3,1A1L,17759.11
COMPLEX (ANTIGEN/PEPTIDE),,,2.57,52,X-RAY DIFFRACTION,Protein,18% PEG8000 0.1M SODIUM CACODYLATE PH6.5 0.2M CALCIUM ACETATE,6.5,1996,386,2.3,1A1M,45125.08
COMPLEX (ANTIGEN/PEPTIDE),,,2.39,49,X-RAY DIFFRACTION,Protein,18% PEG8000 0.1M SODIUM CACODYLATE PH6.5 0.2M CALCIUM ACETATE,6.5,1996,383,2,1A1N,44691.64
COMPLEX (ANTIGEN/PEPTIDE),,,2.68,54,X-RAY DIFFRACTION,Protein,18% PEG8000 0.1M SODIUM CACODYLATE PH6.5 0.2M CALCIUM ACETATE,6.5,1996,384,2.3,1A1O,44878.82
HYDROLASE INHIBITOR,,,,,SOLUTION NMR,Protein,,,1998,14,,1A1P,1554.8
HYDROLASE,,,3.18,62,X-RAY DIFFRACTION,Protein,"VAPOR DIFFUSION. PROTEIN MIXED WITH WELL SOLUTION OF: 3.5M NACL, 150MM TRIS-HCL (PH 6.0), 5% PEG400., pH 6.5",6.5,1996,567,2.4,1A1Q,59880.04
VIRAL PROTEIN,,,4.6,73,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 1.8 M NACL, 100 MM NA/K PHOSPHATE, 10 MM B-MERCAPTOETHANOL, 100 MM MES, PH 6.5.",6.5,1996,442,2.5,1A1R,47008.85
TRANSCARBAMYLASE,,294,3.87,68.2,X-RAY DIFFRACTION,Protein,"THE PROTEIN WAS CRYSTALLIZED FROM 1M NACL, 100 MM ACETATE, PH 4.0, 21 DEGREES C, temperature 294K",4,1998,314,2.7,1A1S,35098.19
Viral protein/RNA,,,,,SOLUTION NMR,Protein#RNA,,,1998,75,,1A1T,12995.23
ANTI-ONCOGENE,,,,,SOLUTION NMR,Protein,,,1997,70,,1A1U,8421.28
HYDROLASE/DNA,,,2.7,55,X-RAY DIFFRACTION,Protein#DNA,pH 8.0,8,1998,484,2.2,1A1V,53734.73
APOPTOSIS,,,,,SOLUTION NMR,Protein,,,1998,91,,1A1W,10651.19
PROTO-ONCOGENE,,,2,37,X-RAY DIFFRACTION,Protein,PROTEIN WAS CRYSTALLIZED FROM 1.5M AMS WITH TRIZMA BUFFER AT PH 7.8,7.8,1998,108,2,1A1X,12627.2
COMPLEX (SERINE PROTEASE/INHIBITOR),,,2.3,46,X-RAY DIFFRACTION,,PH 6,6,,337,1.05,1A1Y,34592.76
APOPTOSIS,,,,,SOLUTION NMR,Protein,,,1998,91,,1A1Z,10545.07
GLYCOPROTEIN,"VAPOR DIFFUSION, SITTING DROP",,2.7,54,X-RAY DIFFRACTION,Protein,"SITTING DROP, 80 UL OF PROTEIN SOLUTION (10 MG/ML PROTEIN IN 50 MM TRIS*HCL,PH:8.0, 50 MM NACL, 75 MM LI2SO4, 12.5 % PEG 3350) EQUILIBRATED AGAINST 30 ML RESERVOIR SOLUTION (50 MM TRIS*HCL, PH:8.0, 50 MM NACL, 150 MM LI2SO4, 25 % PEG3350), vapor diffusion - sitting drop",8,1998,438,2.35,1A21,50212.1
COMPLEX (HORMONE/RECEPTOR),,,2.63,53.22,X-RAY DIFFRACTION,Protein,pH 6.5,6.5,1998,429,2.6,1A22,49661.91
OXIDOREDUCTASE,,,,,SOLUTION NMR,Protein,,,1998,189,,1A23,21155.03
OXIDOREDUCTASE,,,,,SOLUTION NMR,Protein,,,1998,189,,1A24,21155.03
